Batman vs Superman	batman vs superman
I saw the first one and it was really good, but my kids were young then. Now I have no reason to see it.	maine pehli wali dekhi thi aur wo really good thi, lekin tab mere bacche young they. Ab mere pas koi reason nahi hai isey dekhne ka.
Well, I guess I have to go see for myself.  It's probably on TV somewhere.	Well, I guess mujhe khud hi dekhni padegi. Shayad ye TV pe kahin hogi.
So, after they get disqulified from the Scare Games, they both take jobs at Monsters, Inc, in the mail room and they work their way up until they are able to join the "scarer team"	To Scare Games se disqualify hone ke baad wo job le lete hai Monsters, Inc, ke mail room me aur mehnat karke upar jaate hain jab tak wo "scarer team" join nahi kar lete
It got 79% on Rotten Tomatoes.	ROTTEN TOMATOES PAR ISE 79% MILA
okay  bye now	THEEK HAI BYE.
Bye	BYE / PHIR MILENGE
Hi	hi
Hey	Hey
What is the name of the movie	movie ka name kya hai
The Social Network	The Social Network
Good name	Good name
Who is the main character	main character kon hai
It is a great movie, You should watch it sometime. The main character Jesse Eisenberg plays Mark Zuckerberg who is the founder of Facebook.	ye achi movie hai. tumhe ye kabhi dekhni chahiye. main character Jesse Eisenberg Mark Zuckerberg play karta hai jo Facebook ka founder hai
Interesting. Is it a biography?	Interesting. Kya ye ek biography hai?
In some senses it is, but it also has some drama too.	kuch sense mein hai lekin isme kuch drama bhi hai
Any violence	koi voilence
No violence, it's more a tale of sex, money, genius and betrayal.	violence nahi hai, ye sex, money, genius aur betrayal ki jyada kahaani hai
Are there any other main characters worth mentioning	aur koi main characters hein kya mention karne ka..
Yes, Andrew Garfield and Justin Timberlake both made huge roles in this movie as Jesse Eisenberg friends.	haan, andrew garfield aur justin timberlake dono badiya role play kiya hein is movie mein.. voh jesse eisenberg ka freind they
Wow	wow
Are there any reviews?	kuch reviews hein?
I love when all three of them team up and work together to really create what it is.	muje tho un sabhi ka teamup aur unka work bahut pasand hei
Yes, it sounds like quite a story	haan, muje bhi is tarah ka story hi lag raha hein
Most of the reviews have it high, Rotten tomoatoes and Metacritic both at 95% and CinemaScore at a B+	kahi review mein tho ache hi likha hein, Rotten tomatoes aur metacritic dono 95% diya aur cinema score tho B+ deya
Good ratings	ache ratings hein
The movie sounds like something I would watch	is movie ko tho mein jarur dekhunga
I think that you would really enjoy the movie. You should definitely check it out. It will give you some great insight into how Facebook was made.	muje lagtha hey ki aap is movie ko jarur enjoy karenge. aap definitely checkout kareye..  isse aap ko thoda facebook ka thoda jaankar mil jaayega
Good ratings and solid semi biography. Thanks for giving me your insight, I will enjoy watching this movie	good ratings aur majboot semi biography.Aapke insight dene ke liye thanks, mai ye movie ko dekhna enjoy karuga.
Bye	bye
Awesome. I am glad to hear it, and would love to hear your personal opinion after watching it.	Awesome. Main khush hua sun ke, aur movie watch karne ke baad aapke personal opinion sunna pasand karuga.
Have a great day!!	Aapka din great ho
Wait what year is the movie	Wait moive kon se year ki hai?
It is from 2010	ye 2010 se hai
Fairly old	Fairly old
Yes, but it is still very current because everyday there are changes in social media.	Yes, par ye abhi bhi badi current hai because har din social media par kuch changes hote hai.
True	True
Did the movie win any awards	Kya moive ne koi awards jeete hai
It was named the Movie of the Year.	ise Movie of the year namit kiya hai
Wow. Great!	Wow. Great
The movie sounds really awesome and I will definitely check it out. Have a wonderful day	Ye movie bahut hi awsome hai aur me ise definitely dekhuga. Aapka din wonderful ho.
What genre of movies do you usually watch?	Aap kis genre ki movies ko ususally dekhte ho?
Hi have you seen Wonder Woman yet?	hi kya tumne wonder woman dekha hai ab tak?
I have and I loved it! How did you like it?	ha  maine dekha aur bahut pasand aya!kya tumne like kiya?
It was better than I was expecting. Looks like alot of people liked it. Rotten Tomatoes gives it a 92% score	baki sabse accha that.lagta hai bahut logon ko pasand aya.Rotten Tomatoes ne 92% score diya hai
Yes, 92% is a great score for the movie, especially with a CinemaScore of an A also. Everyone I know who watched it thought it was great.	Haan, 92% is a great score for the movie, iske saath yeh CinemaScore of an A bhi hai. Everyone I know who watched, aro ko lagta hai it was great.
I think because it had something for everyone. Action and a beautiful woman for the guys and a strong female character for the gals.	I think isme sabke liye kuch hai. Ladko ke liye Action and  beautiful woman aur Ladkiyo ke liye strong female character
Indeed, plus it was the first time ever that a female director directed a comic book superhero movie.	Indeed, saath main pahli baar koi female director directed a comic book superhero movie.
Ah I didn't catch that. That's right. It makes me want to see the rest of the upcoming  DECU movies more	Ah I didn't catch that. Woh sahi hai. Ab lagta hain yeh mujhe want to see the rest of the upcoming DECU movies more
The plot was great, it was about a Amazonian princess who leaves her home behind to try to solve the conflict in the "outside" world. Very action-packed.	The plot was great, it was about a Amazonian princess jisne apna ghar choola taki woh solve the conflict in the "outside" world. Very action-packed
Yeah the scenery was great. And Chris Pine too.3 .	Haan, the scenery was great. saath main Chris Pine too.3 .
Of course, who wouldn't want Chris Pine as a love interest!	Of course,  kaun nahin chayega Chris Pine as a love interest!
The Greek mythology was a nice touch to the standard superhero formula	Greek mythology ka bahut accha use kiya standard superhero formula ke saath.
The Greek mythology was great, but I thought it was a bit confusing.	The Greek mythology was great, but mujhe lagta hai it was a bit confusing.
Yeah I'm sure that wasn't explained as well as it should have, but they probably needed to get to the bang bang scenes faster	Yeah, I am sure that wasn't explained jaisse hona chaiiya tha, par ho sakta hai they needed to get to the bang bang scenes faster
True, people went for the action for sure. I personally like movies with a bit more of a back story.	True, log surely action k liye gaye hai. Personally mujhe thoda bahut back story wali movies acchi lagti hai
Right, I wouldn't mind an extra 5-10 minutes with more detailed story about Ares and Zeus	Bilkul, main Ares aur Zeus k baare me 5-10 minute ki detailed story mind nahi karta hai.
Yes, t hat and also about how Zeus met an Amazonian. 	Haan wo aur Zeus kaise ek Amazonian ko mila wo bhi
The training scenes were great with her mom the Queen though	Wo training scene uski mom the Queen k saath kaafi acche the
I mean her mom's sister, her auntie	I mean uski mom ki behen, uski auntie.
Oh for sure! I loved seeing the evolution of how she trained and how strong she got.	Oh bilkul sure! Mujhe uske training aur kitni strong hogayi ka evolution bahut pasand aaya.
I'm glad they made the lasso a strong weapon.	Main glad hu k unhone lasso ko ek strong weapon banaya hai
Yes. I also liked the scene when Diana saves Steve when he crashes into the ocean. A woman saving a man in a movie for once.	Haan. Mujhe Diana ka Steve ko uske ocean me  crash k baad bachane wala scene bhi kafi accha laga.Ek aurat aadmi ko bachate hue pahli baar
Yeah there was alot of feminine cheering  in the theater for that scene	Haan us scene me theatre me kaafi feminine cheering thi
I hated that her aunt died when the Germans invaded though.	Mujhe German invasion me uski aunt ka marna pasand nahi aaya.
yeah that was sad, pretty unavoidable though to advance the story and give gravitas to WW's journey	han ye sad tha, kafi unavoidable tha magar story ko advance karne ke liye aur WW ki journey ko gravitas dene ke liye
How did you like Sir Patrick?	Tumhe Sir Patrick kaisa laga?
I was a little surprised by his reveal, but I wasn't paying much attention to everyone else outside of WW, CP and the scenery tbh	main uske reveal se surprised tha, lekin main zyada attention pay nahi kar raha tha WW, CP aur scenere ke outside kisiko bhi
I saw that coming. Too predictable that he was Ares I thought.	Mujhe pata chal gaya tha. Ye bohat predicatable tha ki wo Ares tha I thought
right, but there's only so much they can do it's a huge movie designed for the masses, not for those with discriminating tastes ;)	right, lekin wo bhi kitna karein ye ek huge movie thi masses ke liye, discriminating tastes walo ke liye nahi
Haha, very true! I thought it was neat that they started the story by Diana reminiscing while looking at an old picture though!	haha, bohat sahi! mujhe laga ye kafi neat tha ki unhone movie ko start kia Diana ke ek old picture ko dekhkar huye reminisce karte huye
yeah the ending reminded me of Captn America with his story in the past and waking up to the modern day world	han movie ki ending se mujhe Captain America ki ending yaad agyi sath mein uski past ki story aur modern world mein jaagne ki
Yes, but from different universes ;)	han par alag universes se
Heh at this point it doesn't really matter unless you're really invested in either universe	Heh leki ye matter nahi karte is point par unless tum inme se kisi universe mein invested ho
True. Can't wait till the next installment! 	True. Main next istallment tak wait nahi kar sakta.
But with CP taking the bomber away to detonate is just like Captn America going to the Arctic to destroy HIS bom b	Lekin cp bambaare karane kelie visphot karane kelie door le ja raha hai jaise captain america apane bomb ko nasht karane kelie arctic ja raha hai
yeah, im sure it'll be a great one	Haan mujhe yakeen hai ki yah bahut achchaa hoga.
For sure, many similarities. I have to say I liked Wonder Woman more so than Batman VS Superman.	Mujhe yakeen hai ki kae samanataon kelie mujhe wonder woman ko batman vs superman se adhik pasand karana hoga
Hmmm wonder why this doc hasn't moved on. it's been awhile	Hmmmm aachar hai ki is doc par kyon nahin chale gae ise beete ek arsa ho gaya hai
hi	hi
hi	hi
so i heard you seen a movie?	to mene suna he you seen a film?
yes, Despicable me. It's an animated movie that came out a few yers ago	yes, me Despicable hu.ye ek animated movie he jo few year ago ayi thi
nice that's sound interested. can you tell me a little bit about it?	nice ye to interesting sound karta he.kya tum mujhe iske about little bit bata sakte ho?
would an adult also enjoy the movie?	kya ek adult bhi is movie ko enjoy karega?
Sure, it stars Steve Carrell as a supervillan, with Russell Brand as his scientist/partner in crime. It was directed by Pierre Coffin..	sure, isme Steve Carrell supervillan ,  Russell Brand jese star he , Russell Brand uski crime me scientist/partner he.
awesome	awesome he
do they offer a 3d version as well?	kya ve 3D version bhi offer karate he?
yes! It got a rotten tomato score of 81%, and most reviews praise how smart the humor is. It's good for the whole family.	yes! ise Rotten Tomatoes ke 81% mile, aur most revies ne prashansa ki kitna smart humor he.ye whole family ke dekhne layak he.
Yes, it comes in 3d and regular 	yes, ye 3D aur regular dono version me he
nice	nice
Do you want to know the plot?	Aap plot ke bareme janana chahenge?
i like steve carrell, he was funny in other movies i have seen him in as well. i think it would be funny to see him doing a animated voice over.	Mujhe steve carrell pasand hai, Maine uski jo bhi movie dekhi usme vo funny the. mujhe lagata hai ki use ek animated avaj par kam karte dekhana funny hoga.
no please tell me a little bit about it	Nahi, Mujhe uske bareme thoda aur bataiye
yes i mean lol	Haa, Mera matlab hai lol
it really is! It is designed very well, and his personality comes through in the animation. Steve Carrell is trying to steal the moon after another villan steals the Pyramid at Giza	ye vahi he! ye bahut hi achcha design huva hai, aur uska vyaktitva animation me aata hai. Jab Giza me dusre villan Pyramid churate hai tab Steve Carrell chand churane ki koshish karte hai
